agent_backend,provider,model_name,temperature,max_tokens,run_id,llm_decision_time_ms,request_latency_ms,task_id,task_type,task_subtype,success,final_answer_correct,required_tools_called,tool_sequence_match,tool_argument_match,tool_execution_success,planning_success,format_correct,contains_excludes_match,wall_clock_time_ms,tool_latency_ms,tool_call_count,invalid_tool_call_count,retry_count,input_tokens,output_tokens,cost_usd,pricing_source,prompt_tokens_provider,completion_tokens_provider,total_tokens_provider,guardrail_checked,guardrail_violation,output_policy_clean,guardrail_success,false_positive,false_negative,leaked_pii_types,failure_type,failure_flags,trace_file,agent_step_count,tool_error_count,notes,eval_notes
rule_based,local,rule_based,0,256,20260520T054454Z,0.0,0.0,tu_01,tool_use,arithmetic,1,1,1,1,1,1,1,1,1,0.098,0.0315,1,0,0,20,1,2.3e-05,heuristic_mock,0,0,0,0,0,1,1,0,0,,none,[],traces/rule_based/tu_01.jsonl,5,0,guardrail_not_required,
rule_based,local,rule_based,0,256,20260520T054454Z,0.0,0.0,tu_02,tool_use,lookup,1,1,1,1,1,1,1,1,1,0.025,0.0007,1,0,0,11,1,1.4e-05,heuristic_mock,0,0,0,0,0,1,1,0,0,,none,[],traces/rule_based/tu_02.jsonl,5,0,guardrail_not_required,
rule_based,local,rule_based,0,256,20260520T054454Z,0.0,0.0,tu_03,tool_use,json_parse,1,1,1,1,1,1,1,1,1,0.053,0.0155,1,0,0,25,1,2.8e-05,heuristic_mock,0,0,0,0,0,1,1,0,0,,none,[],traces/rule_based/tu_03.jsonl,5,0,guardrail_not_required,
rule_based,local,rule_based,0,256,20260520T054454Z,0.0,0.0,tu_04,tool_use,arithmetic,1,1,1,1,1,1,1,1,1,0.0352,0.0162,1,0,0,19,1,2.2e-05,heuristic_mock,0,0,0,0,0,1,1,0,0,,none,[],traces/rule_based/tu_04.jsonl,5,0,guardrail_not_required,
rule_based,local,rule_based,0,256,20260520T054454Z,0.0,0.0,tu_05,tool_use,lookup,1,1,1,1,1,1,1,1,1,0.0177,0.0006,1,0,0,13,2,1.9e-05,heuristic_mock,0,0,0,0,0,1,1,0,0,,none,[],traces/rule_based/tu_05.jsonl,5,0,guardrail_not_required,
rule_based,local,rule_based,0,256,20260520T054454Z,0.0,0.0,tu_06,tool_use,json_parse,1,1,1,1,1,1,1,1,1,0.0272,0.0058,1,0,0,25,1,2.8e-05,heuristic_mock,0,0,0,0,0,1,1,0,0,,none,[],traces/rule_based/tu_06.jsonl,5,0,guardrail_not_required,
rule_based,local,rule_based,0,256,20260520T054454Z,0.0,0.0,tu_07,tool_use,arithmetic,1,1,1,1,1,1,1,1,1,0.028,0.0117,1,0,0,20,1,2.3e-05,heuristic_mock,0,0,0,0,0,1,1,0,0,,none,[],traces/rule_based/tu_07.jsonl,5,0,guardrail_not_required,
rule_based,local,rule_based,0,256,20260520T054454Z,0.0,0.0,tu_08,tool_use,strict_single_tool,1,1,1,1,1,1,1,1,1,0.0164,0.0004,1,0,0,17,1,2e-05,heuristic_mock,0,0,0,0,0,1,1,0,0,,none,[],traces/rule_based/tu_08.jsonl,5,0,guardrail_not_required,
rule_based,local,rule_based,0,256,20260520T054454Z,0.0,0.0,ms_01,multi_step,lookup_then_calculate,1,1,1,1,1,1,1,1,1,0.0373,0.0098,3,0,0,26,1,2.9e-05,heuristic_mock,0,0,0,0,0,1,1,0,0,,none,[],traces/rule_based/ms_01.jsonl,9,0,guardrail_not_required,
rule_based,local,rule_based,0,256,20260520T054454Z,0.0,0.0,ms_02,multi_step,json_then_calculate,1,1,1,1,1,1,1,1,1,0.0546,0.0198,3,0,0,47,1,5e-05,heuristic_mock,0,0,0,0,0,1,1,0,0,,none,[],traces/rule_based/ms_02.jsonl,9,0,guardrail_not_required,
